"id","nama","hpp","harga","active","created_at","updated_at"
"1","Iced Tea Original","1516","5000","1","2024-09-25 01:19:51","2025-01-02 21:22:18"
"2","Iced Lemon Tea","1216","6000","1","2024-09-25 01:19:51","2025-01-02 21:21:19"
"3","Iced Milk Tea","0","6000","1","2024-09-25 01:19:51","2024-09-25 01:19:51"
"4","Iced Green Tea","0","8000","1","2024-09-25 01:19:51","2024-09-25 01:19:51"
"5","Iced Red Velvet Tea","0","8000","1","2024-09-25 01:19:51","2024-09-25 01:19:51"
"6","Iced Lychee Tea","0","8000","1","2024-09-25 01:19:51","2024-09-25 01:19:51"
"7","Iced Markisa Tea","0","8000","1","2024-09-25 01:19:51","2024-09-25 01:19:51"
"8","Iced Coklat Tea","0","8000","1","2024-09-25 01:19:51","2024-09-25 01:19:51"
"9","Iced Taro Tea","0","8000","1","2024-09-25 01:19:51","2024-09-25 01:19:51"
"10","Iced Strawberry Tea","0","8000","1","2024-09-25 01:19:51","2024-09-25 01:19:51"
"11","Iced Yakult Tea","0","9000","1","2024-09-25 01:19:51","2024-09-25 01:19:51"
"12","Es Tawar","0","2000","1","2024-09-25 01:19:51","2024-09-25 01:19:51"
"13","Iced Tea Oreo","0","8000","1","2024-10-14 12:46:35","2024-10-14 12:46:35"
"14","Iced Tea Melon","0","8000","1","2024-10-14 12:47:05","2024-10-14 12:47:05"
